Progress,Duration (in seconds),Finished,Q1,Q2,Q3_1,Q20_1,Q4,Q5,Q18,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_13,Q7_14,Q7_15,Q7_16,Q7_17,Q7_18,Q7_19,Q7_20,Q7_21,Q7_22,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9
Progress,Duration (in seconds),Finished,How old are you?,What is your sex?,How important is religion in your life? - Not important:Very Important,How politically active are you? - Not at all active:Very active,What is your annual income (combined with your spouse if you are married)?,Are you currently married?,Do you have any children?,What moral values do you think are important to how you should live at this time in your life? - I should take responsibility for myself.,What moral values do you think are important to how you should live at this time in your life? - I should take care of my family.,What moral values do you think are important to how you should live at this time in your life? - I should aim for spiritual salvation.,What moral values do you think are important to how you should live at this time in your life? - I should take good care of my body.,What moral values do you think are important to how you should live at this time in your life? - I should be a good member of society.,What moral values do you think are important to how you should live at this time in your life? - I should take care of my soul.,What moral values do you think are important to how you should live at this time in your life? - I should feel good about myself.,What moral values do you think are important to how you should live at this time in your life? - I should be cooperative.,What moral values do you think are important to how you should live at this time in your life? - I should have a spiritual compass.,What moral values do you think are important to how you should live at this time in your life? - I should try to achieve my personal goals.,What moral values do you think are important to how you should live at this time in your life? - I should be loyal to friends.,"What moral values do you think are important to how you should live at this time in your life? - Select ""Completely important"" if you are reading this.",What moral values do you think are important to how you should live at this time in your life? - I should be fair to other individuals.,What moral values do you think are important to how you should live at this time in your life? - I should know my place or role in a group.,What moral values do you think are important to how you should live at this time in your life? - I should respect my ancestors.,What moral values do you think are important to how you should live at this time in your life? - I should strive for social harmony.,What moral values do you think are important to how you should live at this time in your life? - I should aim to live a holy life.,What moral values do you think are important to how you should live at this time in your life? - I should respect other individuals' rights.,What moral values do you think are important to how you should live at this time in your life? - I should follow God's law.,What moral values do you think are important to how you should live at this time in your life? - I should keep myself out of trouble.,What moral values do you think are important to how you should live at this time in your life? - I should fulfill my responsibilities to others.,What moral values do you think are important to how you should live at this time in your life? - I should strive for spiritual purity.,"Below are behaviors that you may or may not have participated in. For each of the behaviors, indicate how frequently, if ever, you have participated in them. - I engage in conversations/debates with strangers concerning abortion (online or in person).","Below are behaviors that you may or may not have participated in. For each of the behaviors, indicate how frequently, if ever, you have participated in them. - I engage in conversations/debates with family/friends concerning abortion.","Below are behaviors that you may or may not have participated in. For each of the behaviors, indicate how frequently, if ever, you have participated in them. - I vote for candidates based on their views concerning abortion.","Below are behaviors that you may or may not have participated in. For each of the behaviors, indicate how frequently, if ever, you have participated in them. - I attend/participate in marches/protests/organizations that support my views on abortion.","Below are behaviors that you may or may not have participated in. For each of the behaviors, indicate how frequently, if ever, you have participated in them. - I engage in some way on social media about my views concerning abortion (sharing, liking, and/or commenting on abortion related posts, etc.).",Liz was 23 years old when she became pregnant with her boyfriend. This was unplanned and they did not have future plans to get married. They both just started their first year in graduate school. Having a baby did not fit her career and educational goals. She wasn’t planning on settling down until her late twenties. Liz and her boyfriend chose to have an abortion. - Grieved,Liz was 23 years old when she became pregnant with her boyfriend. This was unplanned and they did not have future plans to get married. They both just started their first year in graduate school. Having a baby did not fit her career and educational goals. She wasn’t planning on settling down until her late twenties. Liz and her boyfriend chose to have an abortion. - Compassionate,Liz was 23 years old when she became pregnant with her boyfriend. This was unplanned and they did not have future plans to get married. They both just started their first year in graduate school. Having a baby did not fit her career and educational goals. She wasn’t planning on settling down until her late twenties. Liz and her boyfriend chose to have an abortion. - Frustrated,Liz was 23 years old when she became pregnant with her boyfriend. This was unplanned and they did not have future plans to get married. They both just started their first year in graduate school. Having a baby did not fit her career and educational goals. She wasn’t planning on settling down until her late twenties. Liz and her boyfriend chose to have an abortion. - Alarmed,Liz was 23 years old when she became pregnant with her boyfriend. This was unplanned and they did not have future plans to get married. They both just started their first year in graduate school. Having a baby did not fit her career and educational goals. She wasn’t planning on settling down until her late twenties. Liz and her boyfriend chose to have an abortion. - Tender,Liz was 23 years old when she became pregnant with her boyfriend. This was unplanned and they did not have future plans to get married. They both just started their first year in graduate school. Having a baby did not fit her career and educational goals. She wasn’t planning on settling down until her late twenties. Liz and her boyfriend chose to have an abortion. - Disturbed,Liz was 23 years old when she became pregnant with her boyfriend. This was unplanned and they did not have future plans to get married. They both just started their first year in graduate school. Having a baby did not fit her career and educational goals. She wasn’t planning on settling down until her late twenties. Liz and her boyfriend chose to have an abortion. - Angry,Liz was 23 years old when she became pregnant with her boyfriend. This was unplanned and they did not have future plans to get married. They both just started their first year in graduate school. Having a baby did not fit her career and educational goals. She wasn’t planning on settling down until her late twenties. Liz and her boyfriend chose to have an abortion. - Impassioned,Liz was 23 years old when she became pregnant with her boyfriend. This was unplanned and they did not have future plans to get married. They both just started their first year in graduate school. Having a baby did not fit her career and educational goals. She wasn’t planning on settling down until her late twenties. Liz and her boyfriend chose to have an abortion. - Warm,"April was homeless, 18 years old, and pregnant. Her pregnancy was the result of a rape. She has no education beyond junior high and extremely limited financial resources and family support. April chose to have an abortion. - Grieved","April was homeless, 18 years old, and pregnant. Her pregnancy was the result of a rape. She has no education beyond junior high and extremely limited financial resources and family support. April chose to have an abortion. - Compassionate","April was homeless, 18 years old, and pregnant. Her pregnancy was the result of a rape. She has no education beyond junior high and extremely limited financial resources and family support. April chose to have an abortion. - Frustrated","April was homeless, 18 years old, and pregnant. Her pregnancy was the result of a rape. She has no education beyond junior high and extremely limited financial resources and family support. April chose to have an abortion. - Alarmed","April was homeless, 18 years old, and pregnant. Her pregnancy was the result of a rape. She has no education beyond junior high and extremely limited financial resources and family support. April chose to have an abortion. - Tender","April was homeless, 18 years old, and pregnant. Her pregnancy was the result of a rape. She has no education beyond junior high and extremely limited financial resources and family support. April chose to have an abortion. - Disturbed","April was homeless, 18 years old, and pregnant. Her pregnancy was the result of a rape. She has no education beyond junior high and extremely limited financial resources and family support. April chose to have an abortion. - Select ""Extremely"" if you are reading this.","April was homeless, 18 years old, and pregnant. Her pregnancy was the result of a rape. She has no education beyond junior high and extremely limited financial resources and family support. April chose to have an abortion. - Angry","April was homeless, 18 years old, and pregnant. Her pregnancy was the result of a rape. She has no education beyond junior high and extremely limited financial resources and family support. April chose to have an abortion. - Impassioned","April was homeless, 18 years old, and pregnant. Her pregnancy was the result of a rape. She has no education beyond junior high and extremely limited financial resources and family support. April chose to have an abortion. - Warm","Britney, who is pregnant, and her husband James find out that their baby will have down syndrome. They chose to have an abortion. - Grieved","Britney, who is pregnant, and her husband James find out that their baby will have down syndrome. They chose to have an abortion. - Compassionate","Britney, who is pregnant, and her husband James find out that their baby will have down syndrome. They chose to have an abortion. - Frustrated","Britney, who is pregnant, and her husband James find out that their baby will have down syndrome. They chose to have an abortion. - Alarmed","Britney, who is pregnant, and her husband James find out that their baby will have down syndrome. They chose to have an abortion. - Tender","Britney, who is pregnant, and her husband James find out that their baby will have down syndrome. They chose to have an abortion. - Disturbed","Britney, who is pregnant, and her husband James find out that their baby will have down syndrome. They chose to have an abortion. - Angry","Britney, who is pregnant, and her husband James find out that their baby will have down syndrome. They chose to have an abortion. - Impassioned","Britney, who is pregnant, and her husband James find out that their baby will have down syndrome. They chose to have an abortion. - Warm","Amanda, who is married, just found out that she is pregnant. Shortly after, she learned that she has cervical cancer. Her doctors told her that she wouldn’t be able to receive treatment while she was pregnant, so she chose to have an abortion. - Grieved","Amanda, who is married, just found out that she is pregnant. Shortly after, she learned that she has cervical cancer. Her doctors told her that she wouldn’t be able to receive treatment while she was pregnant, so she chose to have an abortion. - Compassionate","Amanda, who is married, just found out that she is pregnant. Shortly after, she learned that she has cervical cancer. Her doctors told her that she wouldn’t be able to receive treatment while she was pregnant, so she chose to have an abortion. - Frustrated","Amanda, who is married, just found out that she is pregnant. Shortly after, she learned that she has cervical cancer. Her doctors told her that she wouldn’t be able to receive treatment while she was pregnant, so she chose to have an abortion. - Alarmed","Amanda, who is married, just found out that she is pregnant. Shortly after, she learned that she has cervical cancer. Her doctors told her that she wouldn’t be able to receive treatment while she was pregnant, so she chose to have an abortion. - Tender","Amanda, who is married, just found out that she is pregnant. Shortly after, she learned that she has cervical cancer. Her doctors told her that she wouldn’t be able to receive treatment while she was pregnant, so she chose to have an abortion. - Disturbed","Amanda, who is married, just found out that she is pregnant. Shortly after, she learned that she has cervical cancer. Her doctors told her that she wouldn’t be able to receive treatment while she was pregnant, so she chose to have an abortion. - Angry","Amanda, who is married, just found out that she is pregnant. Shortly after, she learned that she has cervical cancer. Her doctors told her that she wouldn’t be able to receive treatment while she was pregnant, so she chose to have an abortion. - Impassioned","Amanda, who is married, just found out that she is pregnant. Shortly after, she learned that she has cervical cancer. Her doctors told her that she wouldn’t be able to receive treatment while she was pregnant, so she chose to have an abortion. - Warm"
"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID18""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID7_7""}","{""ImportId"":""QID7_8""}","{""ImportId"":""QID7_9""}","{""ImportId"":""QID7_10""}","{""ImportId"":""QID7_11""}","{""ImportId"":""QID7_12""}","{""ImportId"":""QID7_13""}","{""ImportId"":""QID7_14""}","{""ImportId"":""QID7_15""}","{""ImportId"":""QID7_16""}","{""ImportId"":""QID7_17""}","{""ImportId"":""QID7_18""}","{""ImportId"":""QID7_19""}","{""ImportId"":""QID7_20""}","{""ImportId"":""QID7_21""}","{""ImportId"":""QID7_22""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID10_7""}","{""ImportId"":""QID10_8""}","{""ImportId"":""QID10_9""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID11_10""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID13_7""}","{""ImportId"":""QID13_8""}","{""ImportId"":""QID13_9""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID15_6""}","{""ImportId"":""QID15_7""}","{""ImportId"":""QID15_8""}","{""ImportId"":""QID15_9""}"
100,411,TRUE,24,Female,5,2,"$0 - 25,000",Yes,Yes,Very important,Completely important,Completely important,Moderately important,Moderately important,Very important,Very important,Not at all important,Very important,Very important,Moderately important,Completely important,Very important,Moderately important,Very important,Moderately important,Moderately important,Very important,Very important,Very important,Very important,Very important,Occasionally,Occasionally,Rarely,Never,Occasionally,Extremely,Quite a bit,Quite a bit,Extremely,Moderately,Extremely,Quite a bit,Extremely,Not at all,Extremely,Extremely,Extremely,Quite a bit,Extremely,Quite a bit,Extremely,Quite a bit,Extremely,Moderately,Extremely,Not at all,Extremely,Extremely,Not at all,Extremely,Extremely,Extremely,Not at all,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,A little
100,382,TRUE,26,Female,4,4,"$26,000 - 50,000",Yes,Yes,Completely important,Completely important,Very important,Very important,Completely important,Completely important,Very important,Moderately important,Very important,Completely important,Completely important,Completely important,Completely important,Moderately important,Very important,Moderately important,Very important,Completely important,Completely important,Completely important,Completely important,Very important,Rarely,Frequently,Rarely,Never,Frequently,Quite a bit,Not at all,Quite a bit,A little,Not at all,Moderately,Quite a bit,Quite a bit,Not at all,Quite a bit,Extremely,Moderately,Not at all,Quite a bit,Not at all,Extremely,Not at all,A little,Not at all,Not at all,Moderately,A little,Moderately,Not at all,Moderately,Moderately,Quite a bit,Not at all,Extremely,Quite a bit,A little,A little,Not at all,A little,A little,Quite a bit,Not at all
100,233,TRUE,23,Female,5,5,"$0 - 25,000",No,No,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Never,Rarely,Very Frequently,Never,Occasionally,Extremely,Quite a bit,Extremely,Quite a bit,Quite a bit,Extremely,Moderately,Moderately,Not at all,Not at all,Extremely,Not at all,Not at all,Quite a bit,A little,Extremely,Not at all,Quite a bit,Not at all,Extremely,Moderately,Extremely,Extremely,A little,Extremely,Extremely,Moderately,Not at all,A little,Extremely,Not at all,A little,Quite a bit,A little,Not at all,Moderately,Not at all
100,380,TRUE,23,Female,5,1,"$0 - 25,000",No,No,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Very important,Very important,Moderately important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Rarely,Occasionally,Never,Never,Never,Extremely,Not at all,Quite a bit,Extremely,Moderately,Extremely,Extremely,Extremely,Not at all,Extremely,Moderately,Quite a bit,Moderately,A little,Moderately,Extremely,Quite a bit,Moderately,Moderately,Extremely,Not at all,Extremely,Extremely,Not at all,Extremely,Extremely,Moderately,Not at all,Extremely,A little,Extremely,Quite a bit,Moderately,Quite a bit,Moderately,Moderately,Moderately
100,556,TRUE,67,Female,5,3,"$51,000 - 75,000",Yes,Yes,Completely important,Completely important,Completely important,Very important,Very important,Completely important,Very important,Moderately important,Very important,Very important,Very important,Completely important,Very important,Moderately important,Very important,Moderately important,Very important,Very important,Completely important,Very important,Completely important,Very important,Never,Occasionally,Frequently,Never,Occasionally,Extremely,Not at all,Extremely,Extremely,Not at all,Extremely,Extremely,Extremely,Not at all,Extremely,A little,Quite a bit,Quite a bit,A little,Extremely,Extremely,Quite a bit,Quite a bit,Not at all,Extremely,Not at all,Extremely,Extremely,Not at all,Extremely,Extremely,Extremely,Not at all,Extremely,A little,Extremely,Extremely,A little,Extremely,Extremely,Extremely,A little
100,547,TRUE,25,Female,5,4,"$76,000 - 100,000",Yes,No,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Very important,Completely important,Moderately important,Moderately important,Completely important,Very important,Moderately important,Very important,Moderately important,Completely important,Slightly important,Completely important,Very important,Completely important,Completely important,Rarely,Occasionally,Very Frequently,Never,Occasionally,Extremely,A little,Extremely,Quite a bit,Not at all,Quite a bit,Quite a bit,Moderately,Not at all,Extremely,A little,A little,Extremely,Not at all,Quite a bit,Extremely,Quite a bit,A little,Not at all,Extremely,Not at all,Extremely,Extremely,Not at all,Extremely,Extremely,Moderately,Not at all,Extremely,A little,Moderately,Moderately,Not at all,A little,A little,Moderately,Not at all
100,404,TRUE,32,Female,5,3,"$51,000 - 75,000",No,Yes,Completely important,Completely important,Very important,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Completely important,Completely important,Slightly important,Very important,Very important,Completely important,Very important,Very important,Very important,Very important,Very important,Occasionally,Occasionally,Occasionally,Never,Occasionally,Quite a bit,Quite a bit,Quite a bit,Moderately,Moderately,Quite a bit,Quite a bit,Quite a bit,Moderately,Moderately,Quite a bit,Quite a bit,Quite a bit,Moderately,Quite a bit,Extremely,Quite a bit,Quite a bit,Moderately,Extremely,Not at all,Extremely,Extremely,Not at all,Extremely,Extremely,Extremely,Not at all,Moderately,Moderately,Moderately,Moderately,A little,Quite a bit,Moderately,Moderately,Moderately
100,656,TRUE,41,Female,5,2,"$76,000 - 100,000",Yes,Yes,Completely important,Completely important,Completely important,Completely important,Completely important,Completely important,Very important,,Completely important,Completely important,Very important,Completely important,Completely important,Moderately important,Very important,Very important,Completely important,Very important,Completely important,Completely important,Not at all important,Completely important,Never,Rarely,Frequently,Never,Never,Quite a bit,A little,Quite a bit,Quite a bit,A little,Quite a bit,Quite a bit,Moderately,Not at all,Extremely,Extremely,Quite a bit,Quite a bit,Extremely,Quite a bit,Extremely,Extremely,Extremely,Not at all,Extremely,A little,Extremely,Extremely,Moderately,Quite a bit,Extremely,Moderately,Not at all,Quite a bit,Extremely,Moderately,Moderately,Extremely,Quite a bit,A little,Extremely,A little
